obligation_id,profile,command,blocking,active,artifact
FO-V2-001,v2,"cargo kani -p oxvba-vm --harness pc_progression_is_safe_for_valid_jump_target",no,true,crates/oxvba-vm/src/interpreter.rs
FO-V2-002,v2,"cargo kani -p oxvba-compiler --harness temp_slots_do_not_overlap_declared_slots",no,true,crates/oxvba-compiler/src/emit.rs
FO-V3-001,v3,"cargo kani --version",no,true,scripts/run-formal.ps1
FO-V4-001,v4,"cargo kani -p oxvba-vm --harness comparator_ops_produce_boolean_values",no,true,crates/oxvba-vm/src/interpreter.rs
FO-V5-001,v5,"cargo test -p oxvba-host formal_v5_branch_selection_is_total_over_small_domain",no,true,crates/oxvba-host/src/engine.rs
FO-V5-002,v5,"cargo test -p oxvba-host formal_v5_branch_selection_matches_reference_model",no,true,crates/oxvba-host/src/engine.rs
FO-V5-003,v5,"cargo test -p oxvba-host formal_v5_no_dual_branch_write_effect",no,true,crates/oxvba-host/src/engine.rs
FO-V6-001,v6,"cargo test -p oxvba-host formal_v6_do_while_matches_reference_model",no,true,crates/oxvba-host/src/engine.rs
FO-V6-002,v6,"cargo test -p oxvba-host formal_v6_post_condition_loop_semantics",no,true,crates/oxvba-host/src/engine.rs
FO-V6-003,v6,"cargo test -p oxvba-host formal_v6_exit_do_short_circuits_iteration",no,true,crates/oxvba-host/src/engine.rs
FO-V7-001,v7,"cargo test -p oxvba-host formal_v7_select_case_first_match_wins",no,true,crates/oxvba-host/src/engine.rs
FO-V7-002,v7,"cargo test -p oxvba-host formal_v7_select_case_else_fallback",no,true,crates/oxvba-host/src/engine.rs
FO-V7-003,v7,"cargo test -p oxvba-host formal_v7_select_case_multi_value_arm",no,true,crates/oxvba-host/src/engine.rs
FO-V8-001,v8,"cargo test -p oxvba-host formal_v8_call_returns_to_caller",no,true,crates/oxvba-host/src/engine.rs
FO-V8-002,v8,"cargo test -p oxvba-host formal_v8_local_scope_isolated_between_procedures",no,true,crates/oxvba-host/src/engine.rs
FO-V8-003,v8,"cargo test -p oxvba-host formal_v8_nested_call_chain_integrity",no,true,crates/oxvba-host/src/engine.rs
FO-V9-001,v9,"cargo test -p oxvba-host formal_v9_byval_does_not_propagate_mutation",no,true,crates/oxvba-host/src/engine.rs
FO-V9-002,v9,"cargo test -p oxvba-host formal_v9_byref_propagates_mutation",no,true,crates/oxvba-host/src/engine.rs
FO-V9-003,v9,"cargo test -p oxvba-host formal_v9_byref_requires_variable_argument",no,true,crates/oxvba-host/src/engine.rs
FO-V10-001,v10,"cargo test -p oxvba-host formal_v10_array_store_load_roundtrip",no,true,crates/oxvba-host/src/engine.rs
FO-V10-002,v10,"cargo test -p oxvba-host formal_v10_array_bounds_violation_errors",no,true,crates/oxvba-host/src/engine.rs
FO-V10-003,v10,"cargo test -p oxvba-host formal_v10_array_index_zero_is_valid",no,true,crates/oxvba-host/src/engine.rs
FO-V11-001,v11,"cargo test -p oxvba-host formal_v11_resume_next_records_error_number",no,true,crates/oxvba-host/src/engine.rs
FO-V11-002,v11,"cargo test -p oxvba-host formal_v11_default_error_mode_fails",no,true,crates/oxvba-host/src/engine.rs
FO-V11-003,v11,"cargo test -p oxvba-host formal_v11_resume_next_continues_execution",no,true,crates/oxvba-host/src/engine.rs
FO-V12-001,v12,"cargo test -p oxvba-host formal_v12_on_error_goto_zero_restores_fail_behavior",no,true,crates/oxvba-host/src/engine.rs
FO-V12-002,v12,"cargo test -p oxvba-host formal_v12_resume_next_statement_no_panic",no,true,crates/oxvba-host/src/engine.rs
